R1,veh,0.82
R1,TWK,214.62
R1,IL1a,58.54
R1,TWK+IL1a,1873.92
R2,veh,1.22
R2,TWK,331.88
R2,IL1a,81.1
R2,TWK+IL1a,1194.62
R3,veh,1
R3,TWK,21.14
R3,IL1a,24.64
R3,TWK+IL1a,270.46
